"City","Tree","DBH","CrownA","CrownB","Size","Location","Latitude","Longitude","first.doy","last.doy","drop.none","drop.early","drop.50","drop.all"
"Longmont","JADE.1",9.3,6.37,7.16,"tall/big","Home",40.185483,-105.142355,287,322,-Inf,287,Inf,Inf
"Fort Collins","JADE.1",8.1,3.5,4.5,"tall/skinny","Mountain/Sherwood",40.586756,-105.08422,290,310,-Inf,290,304,310
"Longmont","JADE.10",5,4.36,3.35,"tall/big","Harvard",40.187721,-105.14048,288,322,-Inf,288,Inf,Inf
"Fort Collins","JADE.10",7.5,5,4.5,"tall/skinny","$2.3 mil House",40.587286,-105.09507,290,317,-Inf,290,297,317
"Longmont","JADE.2",2,2.38,2.47,"Small","Stacyâ€™s Tree",40.18472,-105.14444,288,322,-Inf,Inf,295,308
"Fort Collins","JADE.2",3.7,2.5,2.3,"tall/skinny","Mountain Ave",40.587183,-105.09038,290,310,-Inf,290,304,310
"Longmont","JADE.3",9.1,5.3,4.63,"tall/big","Northwestern Corner",40.184459,-105.14466,288,322,-Inf,288,308,Inf
"Fort Collins","JADE.3",4.3,2,2,"tall/skinny","Loomis",40.583928,-105.08799,290,324,-Inf,290,304,324
"Longmont","JADE.4",8.4,4.57,3.35,"Tall/big","Flag House",40.183898,-105.14384,288,322,288,295,308,315
"Fort Collins","JADE.4",4.3,3.1,4.77,"tall/skinny","Trump House on Olive/Grant",40.583757,-105.08982,290,310,-Inf,290,297,310
"Longmont","JADE.5",5.6,5.3,3.35,"tall/big","LEE",40.185251,-105.14689,288,322,288,295,315,322
"Fort Collins","JADE.5",7.18,4.9,4.65,"tall/skinny","S Magnolia/Washington",40.583044,-105.09116,290,317,-Inf,290,304,317
"Longmont","JADE.6",4.5,2.47,3.35,"tall/skinny","Vorhaus Trees",40.186701,-105.14961,288,322,-Inf,288,308,Inf
"Fort Collins","JADE.6",5.7,5.2,4.1,"tall/skinny","Magnolia/Washington",40.582892,-105.09193,290,310,-Inf,290,297,304
"Longmont","JADE.7",5,2.44,3.96,"tall/big","Pumpkin Colored House",40.187519,-105.15018,288,322,288,295,315,Inf
"Fort Collins","JADE.7",5.57,4.54,5.52,"short/small","W Magnolia",40.582912,-105.09861,290,317,-Inf,290,297,317
"Longmont","JADE.8",4,2.23,1.52,"small","McIntosh Ovaries",40.190506,-105.14435,288,322,288,295,315,322
"Fort Collins","JADE.8",2.84,5.5,5.4,"tall/skinny","Red/Green House Across from Park",40.584808,-105.09931,297,324,-Inf,297,317,324
"Longmont","JADE.9",2.8,2.8,2.71,"small","McIntosh Boat Launch",40.2,-105,288,322,288,295,322,Inf
"Fort Collins","JADE.9",4.8,4.8,4.1,"tall/skinny","Red Door House",40.586971,-105.09884,290,310,-Inf,290,297,304
"Fort Collins","MASON.1",7.5,4.5,4.2,"tall/skinny","Plum and Matthew",40.577051,-105.07434,290,310,-Inf,290,297,310
"Fort Collins","MASON.10",9.52,7.5,7.3,"tall/big","Mack and Bungalow",40.588068,-105.09356,290,318,-Inf,290,Inf,Inf
"Fort Collins","MASON.11",1.87,1.9,2,"short/small","Mountain and Shields",40.587353,-105.09505,297,318,-Inf,Inf,297,318
"Fort Collins","MASON.12",3.7,2.5,2.3,"tall/skinny","Mountain and Grant",40.587271,-105.09027,297,310,-Inf,Inf,297,310
"Fort Collins","MASON.13",0.7,1.1,0.8,"tall/skinny","Whitcomb and Olive",40.584768,-105.08604,290,310,-Inf,290,297,304
"Fort Collins","MASON.14",4.3,2,2,"tall/skinny","Olive and Loomis",40.58385,-105.0882,290,318,-Inf,290,310,318
"Fort Collins","MASON.15",4.3,3.1,4.7,"tall/skinny","Olive and Grant",40.583615,-105.0899,290,310,-Inf,290,304,310
"Fort Collins","MASON.16",7.18,4.9,4.7,"tall/skinny","Magnolia and Washington (East)",40.583039,-105.09109,297,318,-Inf,Inf,297,318
"Fort Collins","MASON.17",5.7,5.2,4.1,"tall/skinny","Magnolia and Washington",40.583061,-105.09188,290,310,-Inf,290,297,310
"Fort Collins","MASON.18",5.87,4.3,4.4,"tall/skinny","Gordon and Magnolia",40.583154,-105.09245,297,310,-Inf,297,304,310
"Fort Collins","MASON.19",5.57,4.5,5.5,"short/small","Jackson and Magnolia",40.583154,-105.09245,297,318,-Inf,Inf,297,318
"Fort Collins","MASON.2",1.8,1.8,1.7,"short/small","Olive and Mason",40.583958,-105.07849,290,318,-Inf,290,310,318
"Fort Collins","MASON.20",2.84,5.5,5.5,"tall/skinny","Jackson and Olive",40.584818,-105.099,297,318,-Inf,297,318,Inf
"Fort Collins","MASON.3",8.1,3.5,4.5,"tall/skinny","Mountain and Sherwood",40.586824,-105.08416,290,310,-Inf,Inf,290,310
"Fort Collins","MASON.4",3.5,2.9,3.2,"short/small","Cherry and Loomis",40.592116,-105.08678,290,318,-Inf,290,318,Inf
"Fort Collins","MASON.5",2.8,2.2,2.4,"short/small","Maple and Park (1)",40.59057,-105.09283,290,318,-Inf,Inf,290,297
"Fort Collins","MASON.6",6.5,5.2,6.8,"tall/skinny","Maple and Park (2)",40.590623,-105.09277,290,318,-Inf,Inf,290,310
"Fort Collins","MASON.7",2.8,3.8,3.4,"short/small","Maple and Park (3)",40.590403,-105.09279,290,318,-Inf,290,310,318
"Fort Collins","MASON.8",3.1,3.1,3.5,"short/small","Park and Laporte",40.589105,-105.09244,290,310,-Inf,Inf,290,304
"Fort Collins","MASON.9",3.6,2.3,2.4,"short/small","Mack and Mountain",40.58814,-105.094,290,310,-Inf,290,297,310
